"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"Lenovo V15 G2 ALC Ryzen 3 5300U / 8 GB / 256 GB / W11 (82KD00FYPB)",1699.0,49,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Windows 11 Home",0
"HP 15s-eq2344nw Ryzen 3 5300U / 8 GB / 256 GB / W11 (712D3EA)",1899.0,105,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Windows 11 Home",1
"Lenovo ThinkBook 15 G4 IAP (21DJ00D3PB)",4199.0,95,16,"Intel Iris Xe",0,"Intel Core i5-1235U",1.3,10,12,15.6,"Windows 11 Pro",2
"Gigabyte G5 i5-12500H / 16 GB / 512 GB / RTX 4060 / 144 Hz (KF-E3EE313SD)",5149.0,92,16,"NVIDIA GeForce RTX 4060 Laptop GPU",8,"Intel Core i5-12500H",1.8,12,16,15.6,"Brak",3
"LG Gram 17 2022 (17Z90Q-G.AA58Y)",5599.0,9,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,17.0,"Windows 11 Home",4
"Acer Nitro 5 AN515-56 i5-11300H / 8 GB / 512 GB / GTX 1650 / 144 Hz (NH.QAMEP.00T)",2899.0,6,8,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11300H",3.1,4,8,15.6,"Brak",5
"HP Pavilion 15-eg2184nw i5-1235U / 8 GB / 512 GB / W11 (712J6EA)",2999.0,16,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Home",6
"Lenovo IdeaPad Gaming 3 15ACH6 (82K200QYPB)",3179.0,264,16,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,15.6,"Brak",7
"Asus ExpertBook B1 B1500 i7-1165G7 / 8 GB / 256 GB / W11 Pro / MX330 (B1500CEPE-EJ1413XS)",3299.0,11,8,"NVIDIA GeForce MX330",2,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 11 Pro",8
"Dell Vostro 3510 (N8803VN3510EMEA01_N1)",2999.0,41,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",9
"Asus TUF Gaming F15 FX506LH i5-10300H / 8 GB / 512 GB / W11 / GTX 1650 / 144 Hz (FX506LHB-HN323W)",3299.0,26,8,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-10300H",2.5,4,8,15.6,"Windows 11 Home",10
"MSI GF63 Thin 11UC-215XPL",3399.0,81,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Brak",11
"Lenovo IdeaPad Gaming 3 15IHU6 i5-11320H / 16 GB / 512 GB / RTX 3050 / 120 Hz (82K101F0PB)",3499.0,168,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11320H",3.2,4,8,15.6,"Brak",12
"HP ProBook 450 G9 (6A166EA)",3591.4,59,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Pro",13
"Acer Nitro 5 AN515-57 i5-11400H / 16 GB / 512 GB / W11 / RTX 3050 / 144 Hz (NH.QELEP.006)",3899.0,25,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Windows 11 Home",14
"HP ProBook 450 G9 (6A164EA)",3799.0,51,16,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Pro",15
"Gigabyte G5 GE i5-12500H / 16 GB / 512 GB / W11 / RTX 3050 / 144 Hz (GE-51EE213SH)",3799.0,52,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-12500H",1.8,12,16,15.6,"Windows 11 Home",16
"Dell Latitude 3530 ​i5-1235U / ​8 GB / ​256 GB / W11 Pro (BB5497)",4699.0,7,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Pro",17
"MSI Katana GF76 11UE-245XPL",5457.0,253,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",18
"MSI Katana GF76 12UE-681XPL i7-12650H / 16 GB / 512 GB / RTX 3060 / 144 Hz",5999.0,25,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-12650H",1.7,10,16,17.3,"Brak",19
"Dream Machines RG4050-17PL25 i7-13700H / 16 GB / 500 GB / RTX 4050 / 144 Hz",6499.0,0,16,"NVIDIA GeForce RTX 4050 Laptop GPU",6,"Intel Core i7-13700H",1.8,14,20,17.3,"Brak",20
"Asus ROG Strix G15 G513 Ryzen 7 5800H / 16 GB / 1 TB / RTX 3070 / 300 Hz (G513QR-HF003)",6599.0,1,16,"NVIDIA GeForce RTX 3070 Laptop GPU",8,"AMD Ryzen 7 5800H",3.2,8,16,15.6,"Brak",21
"Asus Zenbook Pro 16X OLED i7-12700H / 16 GB / 1 TB / W11 Pro / RTX 3060 / 90 Hz (UX7602ZM-ME008X)",9499.0,3,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-12700H",1.7,14,20,16.0,"Windows 11 Pro",22
"MSI Creator Z16HXStudio B13VGTO-002PL i7-13700HX / 32 GB / 2 TB / W11 Pro / RTX 4060 / 120 Hz",15299.0,0,32,"NVIDIA GeForce RTX 4060 Laptop GPU",8,"Intel Core i7-13700HX",1.5,16,24,16.0,"Windows 11 Pro",23
"Dell Vostro 3591 (N306ZVN3591EMEA01_2101_HOME)",2049.0,22,8,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 Home",24
"Asus TUF Gaming A15 FA506QM (FA506QM-HN008)",4799.0,8,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"AMD Ryzen 7 5800H",3.0,8,16,15.6,"Brak",25
"HP 255 G7 (2D321EA)",2472.48,2,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Windows 10 Home",26
"Lenovo Legion 5 15ARH7H Ryzen 5 6600H / 16 GB / 512 GB / RTX 3060 / 165 Hz (82RD005WPB)",5799.0,14,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"AMD Ryzen 5 6600H",3.3,6,12,15.6,"Brak",27
"Apple MacBook Pro 16 (MK183ZE/A)",11999.0,3,16,"Apple M1",0,"Apple M1 Pro",3.2,10,10,16.2,"macOS",28
"LG Gram 15 2022 (15Z90Q-G.AA56Y)",4699.0,5,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,15.6,"Windows 11 Home",29
"Lenovo IdeaPad 3 15ALC6 (82KU00W1PB)",1999.0,54,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Brak",30
"Lenovo V15 G2 (82KB016JPB)",1999.0,29,8,"Intel UHD Graphics Xe G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 11 Pro",31
"Lenovo IdeaPad 5 15ALC05 (82LN00HMPB)",2199.0,49,8,"AMD Radeon Graphics",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Brak",32
"Lenovo IdeaPad 3 15ABA7 Ryzen 5 5625U / 8 GB / 512 GB (82RN0055PB)",2199.0,48,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5625U",2.3,6,12,15.6,"Brak",33
"Lenovo V15 G2 ITL i5-1135G7 / 8 GB / 256 GB / W11 (82KB019DPB)",2299.0,3,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Home",34
"Lenovo IdeaPad 3 17IAU7 i5-1235U / 8 GB / 512 GB (82RL0042PB)",2699.0,25,8,"Intel Iris Xe",0,"Intel Core i5-1235U",1.3,10,12,17.3,"Brak",35
"Lenovo IdeaPad 5 15IAL7 i5-1240P / 16 GB / 512 GB / W11 (82SF005YPB)",3099.0,68,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,15.6,"Windows 11 Home",36
"Lenovo IdeaPad Gaming 3 15IHU6 i5-11320H / 8 GB / 512 GB / GTX 1650 / 120 Hz (82K101FAPB)",3099.0,59,8,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11320H",3.2,4,8,15.6,"Brak",37
"Lenovo IdeaPad Gaming 3 15IHU6 i5-11320H / 16 GB / 512 GB / GTX 1650 / 120 Hz (82K101F1PB)",3149.0,33,16,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11320H",3.2,4,8,15.6,"Brak",38
"Acer Aspire 3 A317-53 (NX.AD0EP.00R)",3195.51,2,8,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,17.3,"Windows 11 Home",39
"Lenovo ThinkPad E15 G4 i5-1235U / 16 GB / 512 GB / W11 Pro (21E600DWPB)",4599.0,77,16,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Pro",40
"Lenovo ThinkPad L14 G3 i5-1235U / 16 GB / 512 GB / W11 Pro (21C1005TPB)",5121.8,19,16,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,14.0,"Windows 11 Pro",41
"Dell Latitude 5530 (N205L5530MLK15EMEA_VP)",5899.0,16,16,"Intel Iris Xe",0,"Intel Core i5-1245U",1.2,10,12,15.6,"Windows 11 Pro",42
"Asus ROG Strix Scar 15 G533 (G533ZS-LN025W)",12499.0,5,32,"NVIDIA GeForce RTX 3080 Laptop GPU",8,"Intel Core i9-12900H",2.5,14,20,15.6,"Windows 11 Home",43
"MSI GF63 Thin 11UD-213XPL",3599.0,113,8,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.2,6,12,15.6,"Brak",44
"Lenovo V15 G2 (82KD00EUPB)",1899.0,18,8,"AMD Radeon Graphics",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Windows 11 Pro",45
"HP 250 G8 (5N3M3EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2550.94,19,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Home",46
"Asus ExpertBook P1 P1512 i3-1115G4 / 8 GB / 256 GB (P1512CEA-BQ0183)",1599.0,3,8,"Intel UHD Graphics Xe G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Brak",47
"Lenovo IdeaPad 3 15ITL6 (82H8019KPB)",1699.0,36,8,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Brak",48
"Lenovo Ideapad 3-15ALC (82KU00VXPB)",1799.0,5,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Brak",49
"Lenovo IdeaPad 3 15IAU7 (82RK006LPB)",1899.0,55,8,"Intel UHD Graphics Xe",0,"Intel Core i3-1215U",1.2,6,8,15.6,"Brak",50
"Lenovo IdeaPad 3 15ABA7 Ryzen 3 5425U / 8 GB / 512 GB (82RN0053PB)",1899.0,15,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5425U",2.7,4,8,15.6,"Brak",51
"Lenovo IdeaPad 3 15IAU7 (82RK006MPB)",1999.0,8,8,"Intel UHD Graphics Xe",0,"Intel Core i3-1215U",1.2,6,8,15.6,"Windows 11 Home",52
"HP 15s-fq2619nw (6Y7X5EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",1999.0,8,16,"Intel UHD Graphics Xe G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 11 Home",53
"Lenovo IdeaPad 3 15ITL6 Core i5-1135G7 / 8 GB / 512 GB (82H8019QPB)",2099.0,63,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Brak",54
"Lenovo V15 G2 ALC Ryzen 5 5500U / 8 GB / 512 GB / W11 (82KD00G0PB)",2099.0,68,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Windows 11 Home",55
"Lenovo IdeaPad 3 17ITL6 Core i5-1135G7 / 8 GB / 512 GB (82H900TSPB)",2199.0,24,8,"Intel UHD Graphics Xe",0,"Intel Core i5-1135G7",2.4,4,8,17.3,"Brak",56
"Lenovo IdeaPad 3 15IAU7 (82RK006NPB)",2399.0,10,8,"Intel Iris Xe",0,"Intel Core i5-1235U",1.3,10,12,15.6,"Windows 11 Home",57
"Lenovo IdeaPad 3 15IAU7 i5-1235U / 8 GB / 512 GB (82RK006PPB)",2557.4,70,8,"Intel Iris Xe",0,"Intel Core i5-1235U",1.3,10,12,15.6,"Brak",58
"Dream Machines NL50MU-15PL30 i5-1155G7 / 8 GB / 500 GB",2599.0,0,8,"Intel Iris Xe",0,"Intel Core i5-1155G7",2.5,4,8,15.6,"Brak",59
"Lenovo ThinkPad E14 G3 Ryzen 5 5500U / 16 GB / 256 GB / W11 (20YDS26200)",2599.0,15,16,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,14.0,"Windows 11 Pro",60
"MSI Modern 15 B12M-019PL",2699.0,1,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Home",61
"Microsoft Surface Go 3 Pentium 6500Y / 8 GB / 128 GB / W11 Pro Edu (8VB-00003)",2783.6,4,8,"Intel UHD Graphics 615",0,"Intel Pentium Gold 6500Y",1.1,2,4,10.5,"Windows 11 Pro Edu",62
"Lenovo IdeaPad 3 17ITL (82H900GKPB)",2799.0,33,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,17.3,"Windows 11 Home",63
"Asus TUF Gaming A15 FA506 (FA506IHR-HN019)",2899.0,6,8,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 4600H",3.0,8,16,15.6,"Brak",64
"Dell Vostro 3510 i5-1135G7 / 8 GB / 256 GB / W11 Pro (N8803VN3510EMEA01_N1_PS)",2899.0,6,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",65
"HP Pavilion 15-eg2214nw i5-1235U / 16 GB / 512 GB (712C2EA)",2899.0,9,16,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Brak",66
"Asus Vivobook 16X Ryzen 5 5600H / 8 GB / 512 GB (D1603QA-MB291)",2899.0,0,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5600H",3.3,6,12,16.0,"Brak",67
"LG UltraPC (16U70Q-G.AA56Y)",2999.0,28,16,"AMD Radeon Vega",0,"AMD Ryzen 5 5625U",2.3,6,12,16.0,"Windows 11 Home",68
"Dream Machines NL50MU-15PL50 i7-1195G7 / 16 GB / 500 GB",2999.0,0,16,"Intel Iris Xe",0,"Intel Core i7-1195G7",2.9,4,8,15.6,"Brak",69
"HP 250 G9 (6F2C7EA)",3189.06,20,8,"Intel Iris Xe",0,"Intel Core i5-1245U",0.9,10,12,15.6,"Windows 11 Pro",70
"Lenovo ThinkBook 15 G4 IAP (21DJ00D2PB)",3199.0,10,8,"Intel Iris Xe",0,"Intel Core i5-1235U",1.3,10,12,15.6,"Windows 11 Pro",71
"Lenovo ThinkBook 15 G2 ITL i5-1135G7 / 8 GB / 256 GB / W11 (20VE012HPB)",3299.0,1,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",72
"Gigabyte G5 GE i5-12500H / 8 GB / 512 GB / RTX 3050 / 144 Hz (GE-51EE263SD)",3299.0,3,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-12500H",1.8,12,16,15.6,"Brak",73
"HP ProBook 455 G8 (4K7C4EA)",3304.83,57,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5600U",2.3,6,12,15.6,"Windows 10 Pro",74
"Lenovo ThinkBook 15 G2 ITL i5-1135G7 / 16 GB / 512 GB / W11 (20VE012DPB)",3349.0,48,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",75
